TASK,category,,
"Top n Sessions (CPU, Memory, I/O)",automatable,,
Long running operations,automatable,,
Performance parameters using diagnostic tools (e.g. PAL),automatable,,
Instance/OS/Database configuration parameters,automatable,,
Collecting performance metrics for baselining,automatable,,
Installation of tools/agents,automatable,,
Capacity analysis and reporting,automatable,,
Configure backup plans,automatable,,
Backup database (Full/Diff/Log/Partial),automatable,,
Cleanup/archiving backups,automatable,,
Validating backup,automatable,,
Add Job steps,automatable,,
Create Partitions (Tables and Indexes),automatable,,
Manage Partitions,automatable,,
Monitor DB mirroring,automatable,,
Failover/Failback DB Mirroring,automatable,,
Resync DB Mirroring,automatable,,
Configure Availability Group,automatable,,
Manage Availability Group,automatable,,
Monitor Clustering,automatable,,
Failover/Failback (Preferred node),automatable,,
Rebuild Index,automatable,,
Reorganize Index,automatable,,
Monitor Fragmentation,automatable,,
Apply patch,automatable,,
Auditing and reporting of Patch/Build level,automatable,,
Daily backup report generation,automatable,,
All services are up on master server and no issue with any of services / daemons,automatable,,
All media servers are up and running,automatable,,
Check the space of availability on master and media servers,automatable,,
All clients backup failures from last 24 hours,automatable,,
Check for catalog backup status,automatable,,
Backup status reports ,automatable,,
"Backup server, Media Server , Data Domain availability report",automatable,,
Usable capacity by Service Level,automatable,,
Hardware Failure alert monitoring,automatable,,
Storage performance trend report,automatable,,
"Analyze performance of storage ports, disks",automatable,,
Movement of Shared Folder Data,automatable,,
High CPU utilization tickets,automatable,,
High memory utilization tickets,automatable,,
Commvault Service restart,automatable,,
Firmware Installation/Upgrade,automatable,,
Adding & Removing Disks ,automatable,,
Disk & File Systems Cleanups,automatable,,
Setting up of disk quotas at OS level,automatable,,
Setting up directory / folder shares,automatable,,
"Administering print queues - Create, Delete",automatable,,
Defining new print queues,automatable,,
Install Commvault Client.,automatable,,
Installing IIS Components in Operating System,automatable,,
"IIS Administration (IIS install, website deploy, IIS restart, AppPool creation) and Troubleshooting",automatable,,
Moving all groups on a node for server maintenance,automatable,,
SNMP services ,automatable,,
Daily Reporting -- Consolidation,automatable,,
Vmware Tools Upgrade Including all Approvals,automatable,,
Backup/ Restore virtual machines ,automatable,,
Network Configuration - Adding and Modifying Virtual Network Adapters,automatable,,
Linux Patching,automatable,,
CV installation,automatable,,
Restart SAP host agent services,automatable,,
simpana restart,automatable,,
file system extended/reduce modifY,automatable,,
sar CPU command output,automatable,,
SNMP monitoring /SNMP restart,automatable,,
Package Cleanup,automatable,,
High CPU utilization tickets,automatable,,
High Memory Utilization tickets,automatable,,
Patching Dashboard,automatable,,
Create root Public folders,automatable,,
                i. Author access to Public Folders,automatable,,
Troubleshoot server Mail flow issues,automatable,,
                  i. issues with Lag copy replay,automatable,,
Perform mailbox migrations on-demand (up to 10 Mailboxes),automatable,,
              i. verify the Database copies on certain interval,automatable,,
                  i. Monitoring the OAB generation,automatable,,
Regularly perform Mail-Flow checks,automatable,,
                   i. Real time monitoring for external email srtuck                 ,automatable,,
Tracking and Reporting.,automatable,,
                i. configuring the alers from proof point system,automatable,,
               ii. Configuring the email stats in-out,automatable,,
Manage virus outbreak in collaboration with Covance IT Security,automatable,,
             i.Identifing the root cause of the issue,automatable,,
Maintain Journal mailboxes for system functionality,automatable,,
             i. Monitor the Jounral mailbox count,automatable,,
Emergency server reboot (All platforms except Lync servers),automatable,,
Scheduled server reboot (All platforms except Lync servers),automatable,,
              i. Verify the server list and run the script,automatable,,
              ii. Post reboot validation for all servers,automatable,,
Whiteglove check,automatable,,
              i. verify the health check reports are arrived,automatable,,
              i. Real-time health check,automatable,,
Proactively monitor and report anomalies in operational behaviour.,automatable,,
Automate administration process (script generation),automatable,,
Performing regular metrics and tracking report.,automatable,,
Adding users into group,automatable,,
Disk Thersold incidents ,automatable,,
Performance and fine tunning of servers,automatable,,
"1. Requirement o database refresh ,clone",automatable,,
3. Production to test clone,automatable,,
4. Pre and post  verification and validation,automatable,,
1. Check the size of dmp with export log file,automatable,,
2. Verify the target  database  schema user  tablespace size ,automatable,,
3. Check the memory and  assign the parallel for large volume of import,automatable,,
4. Post import  execute the utlrp.sql  for make all invalid objects  to valid,automatable,,
1. Creating a schedule to query Database size on a weekly basis ,automatable,,
2. Creating a schedule to collect performance data of the DBSERVER ,automatable,,
3. Creating a schedule to collect performance data of the DB ,automatable,,
1. Provides version details as per application requirement,automatable,,
2. Verified environment details,automatable,,
Propose version,automatable,,
1. Create CR against the Service Request with enough information,automatable,,
2. Provide the access and followup to close the request,automatable,,
1. Review the daily disk space report & communicate with team for further action,automatable,,
2. Take necessary action based on report daily basis,automatable,,
1. Configure network port as per project standard,automatable,,
2. Configure Memory as per project standard post verification the OS level parameters,automatable,,
1. Involving CR process ,automatable,,
Configure SQL Server database for application/tool,automatable,,
Configure Data backup tool for SQL Server,automatable,,
SQL Server Agent/System Monitor,automatable,,
Create/delete alerts,automatable,,
 1. Review daily report and alert for all issue and address it accordingly,automatable,,
 - Daily alert checking from two different monitoring tools,automatable,,
 - Based on the alert review the error log on daily basis,automatable,,
"Backup (for completion, errors)",automatable,,
Database file growth rate,automatable,,
Transaction log file growth rate,automatable,,
Backup growth,automatable,,
      Free space availability on Server,automatable,,
"Shrink database, log files",automatable,,
 Server/Query/Database level performance,automatable,,
Blocking,automatable,,
Disk Activity,automatable,,
I/O bottlenecks,automatable,,
Number of sessions,automatable,,
TOP n SQL queries,automatable,,
"Top n Sessions (CPU, Memory, I/O)",automatable,,
Long running operations,automatable,,
Set server configuration options,automatable,,
"Data file, transaction log file Management",automatable,,
Setup jobs,automatable,,
"Monitor job status, system resources",automatable,,
Capacity analysis and planning,automatable,,
Manage space on the server,automatable,,
Schedule,automatable,,
Monitor,automatable,,
Backup and Resize transaction log files,automatable,,
Recovery of database,automatable,,
How to Create Rules in Outlook,automatable,,
Jwalk Error Fix,automatable,,
Account Lockout Issue,automatable,,
Printer mapping/installation,automatable,,
Remove Members from Security Group,automatable,,
Backup Google Chrome Bookmarks,automatable,,
How to Troubleshoot system performance Issue,automatable,,
Extract User Details,automatable,,
Mirroring an user,automatable,,
Shopping Application faild to  install,automatable,,
AD Account Expired,automatable,,
Missing Network Drive,automatable,,
Safenet VPN Acess - Adding group & Sending Welcome Emails,automatable,,
How to configure Cisco Voice Mail,automatable,,
OU Moment and H Path Update,automatable,,
Software Installation - Shopping Guide,automatable,,
Backup Desktop and IE Favorits,automatable,,
Enable and Extend Multiple AD Account,automatable,,
Mapping Address,automatable,,
Adding Multiple Users to Multiple Groups,automatable,,
Mail Contact Creation,automatable,,
Unable to Join Online Meeting -Lync,automatable,,
VPN Connectivity Issue (PaloAlto),automatable,,
New Outlook Profile Setup,automatable,,
Restore Google Chrome Bookmarks ,automatable,,
To move the favorites and desktop to new computer,automatable,,
iNAV Access Issue,automatable,,
DL Owner Change,automatable,,
Network Account Creation- Employees,automatable,,
Network Account Creation- Contractors,automatable,,
Network Account Creation- Vendors,automatable,,
Sending Welcome Email,automatable,,
Network Account Creation- Service accounts,automatable,,
